﻿Vessel Name,Port Call Type,Port Type,Current Port,Ata/atd,Time At Port,Destination Port,Voyage Origin Port,Voyage Time Underway,Voyage Distance Travelled,Leg Start Port/anch,Leg Time Underway,Leg Distance Travelled,Load Condition,In Transit Port Calls,My Fleets
ASIA ENDEAVOUR,ARRIVAL,Port,BARROW ISLAND,2018-09-02 08:33:00,-,,KISARAZU,14d 7h 55m,4492,DAMPIER ANCH,5h 59m,60,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,DAMPIER ANCH,2018-09-01 00:48:00,-,,KISARAZU,13d 10m,4430,KISARAZU,13d 10m,4430,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2018-08-28 07:54:00,-,,ASHBURTON,17h 23m,1113,ASHBURTON,17h 23m,1113,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-08-28 01:08:00,-,,BARROW ISLAND,3d 19h 43m,106,DAMPIER ANCH,2h 29m,29,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DALIAN ANCH,2018-08-27 08:28:00,-,,DALIAN,2h 28m,14,DALIAN,2h 28m,14,In Ballast,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,ASHBURTON,2018-08-26 08:39:00,-,,KAWASAKI,10d 5h 18m,3900,KAWASAKI ANCH,10d 5h ,3898,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,DALIAN,2018-08-26 00:40:00,-,,BARROW ISLAND,11d 6h 12m,3670,DALIAN ANCH,2m,0,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2018-08-25 07:14:00,-,,BARROW ISLAND,4h 1m,133,BARROW ISLAND,4h 1m,133,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DALIAN ANCH,2018-08-24 21:34:00,-,,BARROW ISLAND,10d 3h 6m,3659,DAMPIER ANCH,9d 17h 5m,3593,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-08-24 10:00:00,-,,BARROW ISLAND,4h 35m,74,BARROW ISLAND,4h 35m,74,Laden,Not in Transit,Chevron Shipping
